
==============================================================================
SUMMARY — every coordinate tested, its source, and what ablation says
==============================================================================

### huggyllama/llama-7b
    revision: 4782ad278652c7c71b72204d462d6d01eaaf7549   baseline ppl: 5.39
    coordinate           source             weight   ppl x      KL  verdict
    L31[1566,1410]       found             -0.1115    x1.0   0.000  no effect
    L31[1534,8030]       found             -0.1597    x1.0   0.000  no effect
    L31[1534,7988]       found              0.0780    x1.0   0.000  no effect
    L31[1534,1568]       found             -0.1141    x1.0   0.000  no effect
    L31[1534,6049]       found              0.0531    x1.0   0.000  no effect
    L31[150,118]         found             -0.1899    x1.0   0.000  no effect
    L31[150,3417]        found              0.1389    x1.0   0.000  no effect
    L31[150,1688]        found             -0.2115    x1.0   0.000  no effect
    L31[150,4751]        found              0.1903    x1.0   0.000  no effect
    L31[3840,2121]       found             -1.2871    x1.0   0.000  no effect
    L31[3840,6712]       found             -0.4014    x1.0   0.000  no effect
    L31[3840,118]        found              0.4207    x1.0   0.000  no effect
    L31[3840,10267]      found             -1.2363    x1.0   0.000  no effect
    L31[1566,7899]       found             -0.0774    x1.0   0.000  no effect
    L31[1566,3813]       found              0.2266    x1.0   0.000  no effect
    L31[1566,8169]       found              0.0518    x1.0   0.000  no effect
    L31[1566,9040]       found              0.0407    x1.0   0.000  no effect
    L31[2487,8541]       found              0.0604    x1.0   0.000  no effect
    L31[2487,3417]       found              0.1292    x1.0   0.000  no effect
    L31[2487,118]        found             -0.1594    x1.0   0.000  no effect
    L31[2487,9434]       found             -0.0582    x1.0   0.000  no effect
    L31[150,8241]        found             -0.1742    x1.0   0.000  no effect
    L31[150,8541]        found              0.0468    x1.0   0.000  no effect
    L31[150,9040]        found              0.0867    x1.0   0.000  no effect
    L31[150,1410]        found             -0.1368    x1.0   0.000  no effect
    L31[3840,7600]       found             -0.5771    x1.0   0.000  no effect
    L31[3840,10129]      found              0.3782    x1.0   0.000  no effect
    L31[3840,8768]       found              0.3660    x1.0   0.000  no effect
    L31[3840,8580]       found             -0.2233    x1.0   0.000  no effect
    L31[1941,3417]       found              0.1667    x1.0   0.000  no effect
    L31[1941,9040]       found              0.1475    x1.0   0.000  no effect
    L31[1941,8580]       found             -0.1090    x1.0   0.000  no effect
    L31[1941,1568]       found              0.1228    x1.0   0.000  no effect
    L31[3151,6049]       found             -0.0670    x1.0   0.000  no effect
    L31[3151,7988]       found             -0.0651    x1.0   0.000  no effect
    L31[3151,10656]      found              0.0949    x1.0   0.000  no effect
    L31[3151,8731]       found             -0.1378    x1.0   0.000  no effect
    L31[2487,6156]       found              0.0800    x1.0   0.000  no effect
    L31[2487,3658]       found              0.1132    x1.0   0.000  no effect
    L31[2487,8030]       found             -0.0708    x1.0   0.000  no effect
    L31[2487,3019]       found              0.1407    x1.0   0.000  no effect
    L31[3840,10066]      found              1.2100    x1.0   0.000  no effect
    L31[3840,2851]       found              0.2495    x1.0   0.000  no effect
    L31[3840,212]        found              0.7334    x1.0   0.000  no effect
    L31[3840,5543]       found              0.2380    x1.0   0.000  no effect
    L31[1566,3019]       found              0.1421    x1.0   0.000  no effect
    L31[1566,145]        found              0.1053    x1.0   0.000  no effect
    L31[1566,4790]       found              0.1869    x1.0   0.000  no effect
    L31[1566,6184]       found             -0.1821    x1.0   0.000  no effect
    L31[1534,3417]       found              0.0724    x1.0   0.000  no effect
    L31[1534,118]        found             -0.0947    x1.0   0.000  no effect
    L31[1534,4751]       found              0.1089    x1.0   0.000  no effect
    L31[1534,7742]       found             -0.0458    x1.0   0.000  no effect
    L31[2487,9040]       found              0.0605    x1.0   0.000  no effect
    L31[2487,4751]       found              0.1071    x1.0   0.000  no effect
    L31[2487,1410]       found             -0.0828    x1.0   0.000  no effect
    L31[2487,8169]       found              0.0584    x1.0   0.000  no effect
    L31[3840,5983]       found              0.3662    x1.0   0.000  no effect
    L31[3840,8173]       found             -0.5112    x1.0   0.000  no effect
    L31[3840,6806]       found              0.2274    x1.0   0.000  no effect
    L31[3840,1818]       found              0.2524    x1.0   0.000  no effect
    L31[1941,1876]       found             -0.1129    x1.0   0.000  no effect
    L31[1941,5974]       found              0.0995    x1.0   0.000  no effect
    L31[1941,8241]       found             -0.1830    x1.0   0.000  no effect
    L31[1941,1410]       found             -0.1854    x1.0   0.000  no effect
    L31[3434,7988]       found              0.0726    x1.0   0.000  no effect
    L31[3434,6049]       found              0.0521    x1.0   0.000  no effect
    L31[3434,2587]       found             -0.0554    x1.0   0.000  no effect
    L31[3434,8030]       found             -0.0836    x1.0   0.000  no effect
    L31[242,6049]        found             -0.0479    x1.0   0.000  no effect
    L31[242,10477]       found              0.0952    x1.0   0.000  no effect
    L31[242,7988]        found             -0.0566    x1.0   0.000  no effect
    L31[242,3417]        found             -0.1191    x1.0   0.000  no effect
    L31[3840,7742]       found              0.1510    x1.0   0.000  no effect
    L31[3840,455]        found              0.2234    x1.0   0.000  no effect
    L31[3840,6030]       found             -0.3750    x1.0   0.000  no effect
    L31[3840,10281]      found              0.8799    x1.0   0.000  no effect
    L31[1566,8173]       found              0.1215    x1.0   0.000  no effect
    L31[1566,1764]       found             -0.0415    x1.0   0.000  no effect
    L31[1566,5876]       found             -0.0378    x1.0   0.000  no effect
    L31[1566,2725]       found              0.0652    x1.0   0.000  no effect
    L31[150,1764]        found              0.0925    x1.0   0.000  no effect
    L31[150,3956]        found              0.2269    x1.0   0.000  no effect
    L31[150,4096]        found              0.1384    x1.0   0.000  no effect
    L31[150,6806]        found              0.1104    x1.0   0.000  no effect
    L31[2487,2554]       found             -0.0802    x1.0   0.000  no effect
    L31[2487,5876]       found             -0.0478    x1.0   0.000  no effect
    L31[2487,5543]       found             -0.0470    x1.0   0.000  no effect
    L31[2487,10638]      found              0.0458    x1.0   0.000  no effect
    L31[3840,10828]      found              0.4758    x1.0   0.000  no effect
    L31[3840,566]        found             -0.2284    x1.0   0.000  no effect
    L31[3840,9955]       found             -0.1813    x1.0   0.000  no effect
    L31[3840,8494]       found             -0.1334    x1.0   0.000  no effect
    L31[1941,1818]       found             -0.0973    x1.0   0.000  no effect
    L31[1941,8169]       found              0.1082    x1.0   0.000  no effect
    L31[1941,10129]      found              0.0967    x1.0   0.000  no effect
    L31[1941,8768]       found             -0.1040    x1.0   0.000  no effect
    L31[1285,7988]       found             -0.0762    x1.0   0.000  no effect
    L31[1285,6049]       found             -0.0475    x1.0   0.000  no effect
    L31[1285,8494]       found             -0.1067    x1.0   0.000  no effect
    L31[1285,10656]      found              0.0814    x1.0   0.000  no effect
    L31[2487,2587]       found             -0.0282    x1.0   0.000  no effect
    L31[2487,5320]       found             -0.0639    x1.0   0.000  no effect
    L31[2487,7608]       found              0.1133    x1.0   0.000  no effect
    L31[2487,3563]       found             -0.1232    x1.0   0.000  no effect
    L31[3840,8169]       found              0.1812    x1.0   0.000  no effect
    L31[3840,4924]       found             -0.4446    x1.0   0.000  no effect
    L31[3840,3597]       found             -0.1580    x1.0   0.000  no effect
    L31[3840,2725]       found              0.2698    x1.0   0.000  no effect
    L31[1566,1396]       found             -0.1842    x1.0   0.000  no effect
    L31[1566,3591]       found              0.1736    x1.0  -0.000  no effect
    L31[1566,3308]       found              0.1880    x1.0   0.000  no effect
    L31[1566,10638]      found              0.0388    x1.0   0.000  no effect
    L31[150,10477]       found              0.0729    x1.0   0.000  no effect
    L31[150,8236]        found              0.1231    x1.0   0.000  no effect
    L31[150,4263]        found             -0.1276    x1.0   0.000  no effect
    L31[150,6737]        found             -0.1656    x1.0   0.000  no effect
    L31[1534,8541]       found              0.0249    x1.0   0.000  no effect
    L31[1534,5974]       found              0.0542    x1.0   0.000  no effect
    L31[1534,8169]       found              0.0470    x1.0   0.000  no effect
    L31[1534,5777]       found             -0.0486    x1.0   0.000  no effect
    L31[3840,1688]       found             -0.2935    x1.0   0.000  no effect
    L31[3840,1568]       found              0.1125    x1.0   0.000  no effect
    L31[3840,5320]       found              0.2084    x1.0   0.000  no effect
    L31[3840,10388]      found              0.2969    x1.0   0.000  no effect
    L31[1566,7742]       found             -0.0250    x1.0   0.000  no effect
    L31[1566,6435]       found             -0.0903    x1.0   0.000  no effect
    L31[1566,9434]       found             -0.0262    x1.0   0.000  no effect
